acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported
154312,,Slight,2,2,14/03/2012,Wednesday,14,March,12,12,45,230,A,1,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326900,674320,520689,Junction,T.V.N.P.,354663,unset,EH75AN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
154512,,Slight,1,1,14/03/2012,Wednesday,14,March,12,1,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325530,671860,559045,Segment,Pedestrian,354664,unset,EH92DW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
155312,,Slight,2,1,07/03/2012,Wednesday,7,March,12,7,30,230,A,71,Single carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,314390,669130,549671,Segment,T.V.N.P.,354665,unset,EH278EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
155612,,Slight,1,1,15/03/2012,Thursday,15,March,12,8,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,Road works present,Other object in carriageway,No overtaking,327060,675850,519550,Junction,Pedestrian,354666,unset,EH68HQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
155712,,Serious,1,1,10/03/2012,Saturday,10,March,12,14,45,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325380,673880,521049,Junction,Pedestrian,354667,unset,EH22EN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
156112,,Slight,2,1,15/03/2012,Thursday,15,March,12,8,20,230,A,720,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,319890,669420,2579027,Segment,T.V.N.P.,354668,unset,EH143BS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
156512,,Slight,2,1,12/03/2012,Monday,12,March,12,6,10,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327840,671650,12228069,Junction,Cyclist,354669,unset,EH165EY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
156912,,Slight,1,1,16/03/2012,Friday,16,March,12,9,0,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,325920,673730,569273,Segment,Pedestrian,354670,unset,EH11SB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
157012,,Slight,2,1,15/03/2012,Thursday,15,March,12,17,48,230,B,701,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320560,669110,551331,Segment,T.V.N.P.,354671,unset,EH130NJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
157912,,Slight,2,1,16/03/2012,Friday,16,March,12,16,30,230,A,720,Dual carriageway - 2 lanes,50,Slip road,Give way sign or markings,A,720,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,318330,670760,2307184,Junction,T.V.N.P.,354672,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
158012,,Slight,1,1,16/03/2012,Friday,16,March,12,9,44,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,325870,674360,566780,Segment,Pedestrian,354673,unset,EH13JD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
158112,,Slight,2,1,15/03/2012,Thursday,15,March,12,18,55,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325260,674310,520530,Junction,T.V.N.P.,354674,unset,EH36HZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
158212,,Slight,2,2,17/03/2012,Saturday,17,March,12,10,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320110,671640,522132,Junction,T.V.N.P.,354675,unset,EH113SP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
158712,,Slight,2,1,17/03/2012,Saturday,17,March,12,11,35,230,C,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322980,673060,12223590,Junction,T.V.N.P.,354676,unset,EH125PW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
159712,,Slight,2,1,18/03/2012,Sunday,18,March,12,12,0,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326060,674420,558575,Segment,T.V.N.P.,354677,unset,EH13NQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
159812,,Slight,2,1,18/03/2012,Sunday,18,March,12,15,35,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324280,673620,10258595,Junction,T.V.N.P.,354678,unset,EH37JA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
160012,,Slight,1,1,18/03/2012,Sunday,18,March,12,22,0,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319940,672950,521706,Junction,Pedestrian,354679,unset,EH128AX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
160112,,Slight,1,1,07/03/2012,Wednesday,7,March,12,14,25,230,A,71,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,322970,672270,521958,Junction,Bus,354680,unset,EH111TU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
161012,,Slight,2,1,19/03/2012,Monday,19,March,12,8,30,230,Unclassified,,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319780,671490,9659159,Junction,T.V.N.P.,354681,unset,EH113UP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
161112,,Slight,3,1,19/03/2012,Monday,19,March,12,11,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324800,676850,0,Unset,M.V.N.P.,354682,unset,EH53LA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
162912,,Slight,5,1,17/03/2012,Saturday,17,March,12,13,3,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320100,674920,565985,Segment,M.V.N.P.,354683,unset,EH47BL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
163012,,Slight,2,3,20/03/2012,Tuesday,20,March,12,8,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312480,672360,12231309,Segment,T.V.N.P.,354684,unset,EH288PJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
163312,,Slight,2,1,19/03/2012,Monday,19,March,12,18,0,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322030,676600,559658,Segment,Cyclist,354685,unset,EH44JJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
164012,,Serious,3,3,20/03/2012,Tuesday,20,March,12,17,39,230,A,720,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318730,670180,2582067,Segment,M.V.N.P.,354686,unset,EH142SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
165512,,Slight,3,1,16/03/2012,Friday,16,March,12,19,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318280,667810,523125,Junction,M.V.N.P.,354687,unset,EH145PY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
165612,,Slight,2,1,21/03/2012,Wednesday,21,March,12,12,0,230,A,90,Single carriageway - 2 lanes,40,'T' or staggered junction,Automatic Traffic Signal,B,701,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318890,674910,519933,Junction,T.V.N.P.,354688,unset,EH48AR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
165912,,Slight,1,1,22/03/2012,Thursday,22,March,12,8,5,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322940,671840,522246,Junction,Pedestrian,354689,unset,EH111QU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
166012,,Slight,3,1,21/03/2012,Wednesday,21,March,12,6,50,230,A,90,Single carriageway - 2 lanes,40,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318530,674970,519966,Junction,M.V.N.P.,354690,unset,EH48DZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
166912,,Slight,1,1,18/03/2012,Sunday,18,March,12,12,0,230,A,900,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326690,675370,519882,Junction,Pedestrian,354691,unset,EH65EL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
167112,,Slight,2,1,20/03/2012,Tuesday,20,March,12,14,0,230,Unclassified,,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,317890,670060,12229737,Junction,T.V.N.P.,354692,unset,EH144AH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
167812,,Slight,2,1,22/03/2012,Thursday,22,March,12,9,12,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324420,667820,570546,Segment,T.V.N.P.,354693,unset,EH107DS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
168312,,Slight,2,1,22/03/2012,Thursday,22,March,12,14,40,230,Unclassified,,Single carriageway - 2 lanes,30,Multiple junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325950,671000,533404,Junction,T.V.N.P.,354694,unset,EH93HT,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
168612,,Slight,2,1,23/03/2012,Friday,23,March,12,0,10,230,C,,Single carriageway - 2 lanes,60,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327470,667010,2587872,Junction,T.V.N.P.,338138,unset,EH178SG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
168812,,Slight,1,1,22/03/2012,Thursday,22,March,12,13,35,230,A,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,901,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326950,675900,522483,Junction,Bus,354695,unset,EH65AE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
169212,,Slight,1,1,23/03/2012,Friday,23,March,12,14,20,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320540,671740,565352,Segment,Pedestrian,354696,unset,EH113NR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
169512,,Slight,1,1,23/03/2012,Friday,23,March,12,8,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322090,674520,520041,Junction,Pedestrian,354697,unset,EH43NF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
172012,,Slight,2,1,24/03/2012,Saturday,24,March,12,6,40,230,B,9085,Single carriageway - 2 lanes,30,Multiple junction,Automatic Traffic Signal,A,90,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320660,675130,519720,Junction,T.V.N.P.,354698,unset,EH47AG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
172912,,Serious,1,1,25/03/2012,Sunday,25,March,12,18,45,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,325690,673320,521541,Junction,Pedestrian,354699,unset,EH11EN,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
173012,,Slight,2,1,01/03/2012,Thursday,1,March,12,11,55,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,900,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327210,676240,519253,Junction,T.V.N.P.,354700,unset,EH67AF,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
173112,,Serious,1,1,20/03/2012,Tuesday,20,March,12,7,0,230,Unclassified,,Single carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,313300,671610,12231495,Segment,S.V.N.P.,354701,unset,EH288QU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
174012,,Slight,1,1,26/03/2012,Monday,26,March,12,8,55,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324040,670190,0,Unset,Pedestrian,354702,unset,EH105RY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
174112,,Slight,1,1,26/03/2012,Monday,26,March,12,6,40,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326080,673200,521583,Junction,Pedestrian,354703,unset,EH89BE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene
174212,,Slight,2,1,26/03/2012,Monday,26,March,12,13,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325380,676770,558892,Segment,T.V.N.P.,354704,unset,EH64LR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
174512,,Slight,1,1,25/03/2012,Sunday,25,March,12,22,7,230,A,70,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318180,667780,561623,Segment,Bus,354705,unset,EH145NU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
174812,,Slight,2,1,02/02/2012,Thursday,2,February,12,8,15,230,A,70,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324070,673160,521382,Junction,T.V.N.P.,356865,unset,EH112BD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
175412,,Slight,4,2,26/03/2012,Monday,26,March,12,13,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327320,674390,2106013,Segment,M.V.N.P.,354706,unset,EH75SY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
175512,,Slight,1,1,21/03/2012,Wednesday,21,March,12,15,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,318810,673230,12231896,Junction,Pedestrian,354707,unset,EH128EP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
177212,,Slight,1,1,27/03/2012,Tuesday,27,March,12,21,44,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326070,674430,558575,Segment,Bus,354708,unset,EH13NQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
177312,,Slight,2,1,27/03/2012,Tuesday,27,March,12,17,25,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present but unlit,Fine (without high winds),Dry,None,None,No overtaking,325580,674400,12222985,Junction,Cyclist,354709,unset,EH13PP,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
177412,,Serious,2,1,26/03/2012,Monday,26,March,12,18,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,312940,678060,4421927,Junction,T.V.N.P.,354710,unset,EH309LT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
178212,,Slight,1,1,28/03/2012,Wednesday,28,March,12,14,45,230,C,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,Road works present,None,No overtaking,328750,671850,523788,Junction,Bus,354711,unset,EH164AP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
178312,,Slight,2,1,16/03/2012,Friday,16,March,12,8,50,230,A,90,Single carriageway - 2 lanes,30,Multiple junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322710,674290,520413,Junction,Cyclist,354712,unset,EH42EZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene
179312,,Slight,4,1,28/03/2012,Wednesday,28,March,12,16,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324700,674010,520485,Junction,M.V.N.P.,354713,unset,EH24DR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
179412,,Slight,2,1,28/03/2012,Wednesday,28,March,12,17,0,230,A,1140,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329030,674250,523440,Junction,T.V.N.P.,354714,unset,EH76PX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere
179712,,Slight,2,1,29/03/2012,Thursday,29,March,12,8,5,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326000,673410,521589,Junction,Cyclist,354715,unset,EH89AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
180112,,Slight,1,1,29/03/2012,Thursday,29,March,12,7,50,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322990,671880,561724,Segment,Pedestrian,354716,unset,EH111QU,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere
180212,,Slight,2,2,29/03/2012,Thursday,29,March,12,11,50,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327230,674410,520728,Junction,Bus,354717,unset,EH88HH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene
180912,,Slight,1,1,29/03/2012,Thursday,29,March,12,12,50,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325620,674290,520572,Junction,Pedestrian,354718,unset,EH13PG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
181012,,Slight,3,2,29/03/2012,Thursday,29,March,12,21,43,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327350,674390,520725,Junction,M.V.N.P.,354719,unset,EH75SU,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene
181912,,Slight,2,1,26/03/2012,Monday,26,March,12,11,40,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324920,674020,0,Unset,Cyclist,354720,unset,EH23LU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
182812,,Slight,1,1,25/03/2012,Sunday,25,March,12,17,5,230,C,,One way Street,30,Other junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324780,673040,521439,Junction,Pedestrian,354721,unset,EH39PU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
183112,,Slight,2,1,30/03/2012,Friday,30,March,12,15,40,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324260,673190,4424274,Segment,T.V.N.P.,354722,unset,EH38DZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
183612,,Serious,1,1,29/03/2012,Thursday,29,March,12,13,50,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,900,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326570,675140,519867,Junction,Pedestrian,354723,unset,EH68SE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
183812,,Slight,1,1,30/03/2012,Friday,30,March,12,16,50,230,Unclassified,,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324360,675980,563652,Segment,Pedestrian,354724,unset,EH53QG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene
184712,,Slight,2,1,27/03/2012,Tuesday,27,March,12,19,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320700,672330,0,Unset,Cyclist,354725,unset,EH127EL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
185112,,Serious,2,1,31/03/2012,Saturday,31,March,12,10,50,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324510,671490,530434,Junction,Cyclist,354726,unset,EH104AY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
185212,,Slight,2,1,31/03/2012,Saturday,31,March,12,15,12,230,A,70,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,317710,667500,517909,Junction,Cyclist,354727,unset,EH145RT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere
185312,,Serious,2,1,29/03/2012,Thursday,29,March,12,14,40,230,C,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324630,672680,533338,Junction,Cyclist,354728,unset,EH39NQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
186512,,Slight,2,1,29/03/2012,Thursday,29,March,12,17,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324790,676750,0,Unset,T.V.N.P.,354729,unset,EH53HW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
186612,,Slight,1,1,01/04/2012,Sunday,1,April,12,7,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,325750,670980,564328,Segment,S.V.N.P.,356964,unset,EH93HP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
186912,,Serious,3,3,01/04/2012,Sunday,1,April,12,21,46,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,325170,675090,566882,Segment,M.V.N.P.,356965,unset,EH35JP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene
